,worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,doc_index,doc_id,doc_fact_check_ground_truth_label,doc_fact_check_ground_truth_value,doc_fact_check_source,doc_speaker_name,doc_speaker_party,doc_statement_date,doc_statement_description,doc_statement_text,doc_evidence_url,doc_completeness_value,doc_completeness_label,doc_completeness_index,doc_completeness_description,doc_comprehensibility_value,doc_comprehensibility_label,doc_comprehensibility_index,doc_comprehensibility_description,doc_precision_value,doc_precision_label,doc_precision_index,doc_precision_description,doc_informativeness_value,doc_informativeness_label,doc_informativeness_index,doc_informativeness_description,doc_unbiasedness_value,doc_unbiasedness_label,doc_unbiasedness_index,doc_unbiasedness_description,doc_accuracy_value,doc_accuracy_label,doc_accuracy_index,doc_accuracy_description,doc_speaker's-trustworthiness_value,doc_speaker's-trustworthiness_label,doc_speaker's-trustworthiness_index,doc_speaker's-trustworthiness_description,doc_truthfulness_value,doc_truthfulness_label,doc_truthfulness_index,doc_truthfulness_description,doc_confidence_value,doc_confidence_label,doc_confidence_index,doc_confidence_description,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_outcome,global_form_validity,gold_checks,time_spent_check,time_check_amount,quartile,mean
2,55b645b1fdf99b1c02906872,True,FakeNewsMultidimensional,V4-Prolific-1,unit_145,1,1,Next,"Tue, 23 Aug 2022 12:02:59 GMT",2022-08-23 12:02:59 00:00,0.0,greene-twists-logic-and-facts-pedophilia-charge-ag,pants-on-fire,0.0,Politifact,Marjorie Taylor Greene,REP,2022-04-04,"stated on April 4, 2022 in a tweet:","Says Sens. Lisa Murkowski, Susan Collins and Mitt Romney âare pro-pedophile.â",https://www.dailymail.co.uk/news/article-10688915/Majorie-Taylor-Greene-says-Republican-colleagues-Romney-Collins-Murkowksi-pro-pedophile.html,-2.0,completely-disagree,0.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,1.0,false,1.0,,2.0,completely-agree,4.0,,1.0,15.74,1661255902.0,1661255917.74,True,True,True,True,True,correct_false,1.2
9,55ca03e1fdf99b2735fc1dde,True,FakeNewsMultidimensional,V4-Prolific-1,unit_40,1,1,Finish,"Tue, 23 Aug 2022 14:10:44 GMT",2022-08-23 14:10:44 00:00,7.0,ohios-mandel-repeats-false-claim-stolen-2020-elect,pants-on-fire,0.0,Politifact,Josh Mandel,DEM,2022-07-14,"stated on February 25, 2022 in a speech at the 2022 CPAC meeting in Florida:",The 2020 election âwas stolen from Donald J. Trump.â,https://www.newsweek.com/josh-mandel-ohio-debate-trump-election-stolen-1642075,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,102.11,1661263410.22,1661263512.33,True,True,True,True,True,correct_false,1.1
16,5658000ca9872d0011e1ba26,True,FakeNewsMultidimensional,V4-Prolific-1,unit_196,1,1,Next,"Wed, 24 Aug 2022 08:56:52 GMT",2022-08-24 08:56:52 00:00,6.0,suozzi-calling-hochul-interim-governor-s-misleadin,pants-on-fire,0.0,Politifact,Tom Suozzi,DEM,2022-01-04,"stated on January 4, 2022 in a Tweet:",Hochul is an âinterim Governor.â,https://www.nytimes.com/2022/05/11/nyregion/tom-suozzi-governor.html,-2.0,completely-disagree,0.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,4.0,mostly-true,4.0,,2.0,completely-agree,4.0,,1.0,158.52,1661330836.13,1661330994.66,True,True,True,True,True,wrong_false,3.2
31,565bdfcec121fe0012fc3897,True,FakeNewsMultidimensional,V4-Prolific-1,unit_64,1,1,Next,"Tue, 23 Aug 2022 11:06:20 GMT",2022-08-23 11:06:20 00:00,5.0,graphic-labeled-top-ten-most-unhealthy-us-cities-d,pants-on-fire,0.0,Politifact,Dan Bongino,REP,2022-02-05,"stated on February 5, 2022 in a TV segment graphic:","The âtop ten most unhealthy U.S. citiesâ are San Francisco; Seattle; Portland, Oregon; San Diego; Honolulu; Washington; Austin, Texas; Irving, Texas; Portland, Maine; and Denver.",https://www.statesman.com/story/news/politics/politifact/2022/02/10/fact-check-austin-among-top-ten-most-unhealthy-u-s-cities/6720066001/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,4.0,mostly-true,4.0,,2.0,completely-agree,4.0,,1.0,379.61,1661251978.14,1661252357.74,True,True,True,True,True,other,1.7
35,567dd32b4f0ef30006dbb718,True,FakeNewsMultidimensional,V4-Prolific-1,unit_88,1,1,Next,"Tue, 23 Aug 2022 11:09:21 GMT",2022-08-23 11:09:21 00:00,1.0,suozzi-calling-hochul-interim-governor-s-misleadin,pants-on-fire,0.0,Politifact,Tom Suozzi,DEM,2022-01-04,"stated on January 4, 2022 in a Tweet:",Hochul is an âinterim Governor.â,https://wnynewsnow.com/2021/03/15/borrello-says-hochul-would-be-capable-in-interim-governor-role/,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,1.0,partially-agree,3.0,,5.0,true,5.0,,2.0,completely-agree,4.0,,1.0,102.85,1661252411.67,1661252514.53,True,True,True,True,True,wrong_false,3.2
46,56caf7b564c068000c4d798a,True,FakeNewsMultidimensional,V4-Prolific-1,unit_191,1,1,Next,"Tue, 23 Aug 2022 13:41:10 GMT",2022-08-23 13:41:10 00:00,4.0,georgias-david-perdue-said-elections-were-stolen-h,pants-on-fire,0.0,Politifact,David Perdue,REP,2022-03-25,"stated on March 25, 2022 in a radio interview:",The 2021 Georgia Senate runoff and the 2020 presidential election âwere stolen.â,https://www.nytimes.com/interactive/2021/01/05/us/elections/results-georgia-runoffs.html,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,4.0,mostly-true,4.0,,1.0,partially-agree,3.0,,1.0,73.95,1661261834.58,1661261908.53,True,True,True,True,True,other,2.1
54,56f9364e895094000c8f4967,True,FakeNewsMultidimensional,V4-Prolific-1,unit_125,3,3,Next,"Tue, 23 Aug 2022 12:00:40 GMT",2022-08-23 12:00:40 00:00,6.0,jd-vance-says-transgender-rights-drives-looming-co,pants-on-fire,0.0,Politifact,J.D. Vance,REP,2022-02-19,"stated on February 19, 2022 in an interview with Steve Bannon:","Says Joe Biden risks war with Russia because Vladimir Putin doesnât âbelieve in transgender rights.""",https://www.rt.com/russia/544226-putin-protect-country-against-transgender/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,false,1.0,,2.0,completely-agree,4.0,,3.0,75.7,1661255446.91,1661255493.13,True,True,True,True,True,correct_false,1.2
59,57bfc1beef05670001ee84c2,True,FakeNewsMultidimensional,V4-Prolific-1,unit_188,1,1,Next,"Tue, 23 Aug 2022 13:36:41 GMT",2022-08-23 13:36:41 00:00,1.0,claim-kids-more-likely-have-access-crack-pipes-mas,pants-on-fire,0.0,Politifact,Troy Nehls,REP,2022-02-09,"stated on February 9, 2022 in an ad:","""In Joe Bidenâs America, your children are more likely to have access to a crack pipe than a mask-free education.""",https://www.houstonchronicle.com/politics/texas/politifact/article/troy-nehls-gop-drug-use-masks-crack-16901923.php,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,41.66,1661261552.48,1661261594.14,True,True,True,True,True,other,1.4
71,57d940a5995a0b00016350be,True,FakeNewsMultidimensional,V4-Prolific-1,unit_19,1,1,Next,"Mon, 22 Aug 2022 16:06:31 GMT",2022-08-22 16:06:31 00:00,5.0,common-core-testing-homosexual-possibly-can,pants-on-fire,0.0,Politifact,Charles Van Zant,REP,2022-05-16,"stated on March 22, 2014 in speech in March publicized May 16 by Think Progress:","A company hired to do Common Core testing in Florida will ""attract every one of your children to become as homosexual as they possibly can.""",https://www.thedailybeast.com/fringe-factor-the-common-core-will-turn-your-kids-as-gay-as-possible,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,196.84,1661183543.88,1661183740.72,True,True,True,True,True,correct_false,0.7
76,57e7bb4e73e67300012b8e2a,True,FakeNewsMultidimensional,V4-Prolific-1,unit_76,1,1,Next,"Tue, 23 Aug 2022 11:13:42 GMT",2022-08-23 11:13:42 00:00,2.0,claim-nominee-ketanji-brown-jackson-wants-defund-p,pants-on-fire,0.0,Politifact,Mick McGuire,REP,2022-03-24,"stated on March 24, 2022 in an ad:","Ketanji Brown Jackson has ""a weak record â defund police, abolish ICE and now a completely open border policy.""",https://thearizonadailynews.com/fact-check-mick-mcguire-says-ketanji-brown-jackson-has-a-weak-record-and-wants-to-defund-police-houston-chronicle/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,1.0,false,1.0,,2.0,completely-agree,4.0,,1.0,31.28,1661252354.67,1661252385.95,True,True,True,True,True,other,1.5
